dist1	dist2
0	10
0	10
0	10
0	10
0	10
0	10
0	10
0	10
0	10
0	10
0	10
0	20
0	20
0	20
0	20
0	20
0	20
0	20
0	20
0	20
0	20
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
0	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	50
100	80
100	80
100	80
100	80
100	80
100	80
100	80
100	80
100	80
100	80
100	100
100	100
100	100
100	100
100	100
100	100
100	100
100	100
100	100
100	100
